24
34
01 small yellow circle  495.59 336.59 
13 small green semi-circle  472.08 255.08 
14 large yellow semi-circle  1052.26 710.26 
15 large red triangle  1499.85 472.85 
16 medium purple square  610.07 812.07 
17 small red circle  1010.59 522.59 
18 small yellow triangle  1137.24 1144.24 
19 large blue triangle  881.85 956.85 
20 medium green cross  631.62 643.62 
21 medium blue circle  786.17 1148.17 
22 small yellow circle  1196.59 324.59 
23 medium purple circle  152.17 333.17 
24 small green circle  1545.59 1050.59 
25 small purple triangle  184.24 44.24 
26 large purple cross  485.10 734.10 
27 medium yellow semi-circle  341.14 616.14 
28 small yellow semi-circle  292.08 741.08 
29 large green circle  457.56 933.56 
30 large blue square  144.38 178.38 
31 small blue triangle  747.24 366.24 
32 medium purple triangle  1275.47 488.47 
33 large yellow triangle  103.85 1089.85 
34 large yellow cross  1199.10 1007.10 
35 large green semi-circle  835.26 557.26 
36 large red semi-circle  811.26 222.26 
37 small blue circle  1482.59 968.59 
38 medium red semi-circle  1520.14 146.14 
39 medium red triangle  884.47 380.47 
40 small purple semi-circle  286.08 857.08 
41 medium yellow square  1010.07 419.07 
42 large green square  1071.38 277.38 
43 medium red square  322.07 1083.07 
44 small red square  848.54 62.54 
45 small red triangle  1216.24 867.24 
46 medium green triangle  649.47 291.47 
47 large red circle  664.56 992.56 
48 small yellow cross  536.32 613.32 
49 small red cross  311.32 970.32 
50 medium blue semi-circle  313.14 322.14 
51 large red square  365.38 154.38 
52 medium blue cross  1367.62 903.62 
53 medium purple semi-circle  1029.14 1051.14 
54 small purple cross  1220.32 395.32 
55 medium red circle  1525.17 312.17 
56 large blue cross  1498.10 798.10 
57 large blue circle  758.56 817.56 
58 large yellow circle  1395.56 1058.56 
59 small green triangle  1286.24 1142.24 
60 small yellow square  1055.54 46.54 
61 medium blue square  972.07 121.07 
62 small blue square  739.54 68.54 
63 small purple square  65.54 62.54 
64 large yellow square  1360.38 118.38 
65 large green triangle  604.85 123.85 
66 small blue semi-circle  1392.08 594.08 
67 medium yellow triangle  875.47 734.47 
68 large purple square  1294.38 699.38 
69 large purple circle  232.56 447.56 
70 medium green circle  1259.17 227.17 
71 small green cross  255.32 1164.32 
72 large green cross  1348.10 350.10 
73 small green square  663.54 1127.54 
74 medium purple cross  1488.62 642.62 
75 medium blue triangle  1174.47 96.47 

35
1
01 large green square  674.38 828.38 
02 large purple triangle  1495.85 137.85 
03 small yellow square  409.54 720.54 
04 medium blue semi-circle  1221.14 488.14 
05 small blue semi-circle  1225.08 624.08 
06 medium green square  1103.07 636.07 
07 large purple semi-circle  1242.26 940.26 
08 large purple cross  1510.10 684.10 
09 medium green semi-circle  911.14 530.14 
10 small red cross  390.32 1031.32 
11 medium purple semi-circle  1303.14 73.14 
12 small green circle  834.59 1150.59 
13 small red triangle  583.24 945.24 
14 small green square  1097.54 956.54 
15 large green triangle  440.85 879.85 
16 small red circle  155.59 1127.59 
17 large yellow square  439.38 175.38 
18 medium purple square  1338.07 243.07 
19 large purple circle  279.56 246.56 
20 small green semi-circle  69.08 1095.08 
21 small blue circle  614.59 1109.59 
22 medium green circle  1197.17 314.17 
23 small green cross  251.32 502.32 
24 medium blue triangle  911.47 87.47 
25 small yellow triangle  292.24 802.24 
26 large red square  1342.38 1109.38 
27 small yellow circle  771.59 184.59 
28 small purple triangle  879.24 638.24 
29 small purple cross  360.32 1156.32 
30 large blue circle  1060.56 839.56 
31 medium yellow circle  189.17 882.17 
32 large green semi-circle  887.26 787.26 
33 medium red cross  74.62 158.62 
34 large green cross  253.10 84.10 
35 small purple circle  1025.59 564.59 
36 medium yellow semi-circle  906.14 261.14 
37 small red square  520.54 1009.54 
38 large purple square  1376.38 435.38 
39 small blue triangle  1105.24 241.24 
40 large red cross  797.10 374.10 
41 small purple square  209.54 772.54 
42 medium green cross  734.62 586.62 
43 medium red circle  706.17 121.17 
44 medium blue square  67.07 832.07 
45 medium purple circle  67.17 994.17 
46 large blue cross  1325.10 753.10 
47 large blue square  1117.38 89.38 
48 medium green triangle  1526.47 378.47 
49 large red triangle  992.85 1087.85 
50 medium yellow square  609.07 204.07 
51 large yellow circle  379.56 513.56 
52 small yellow semi-circle  1519.08 532.08 
53 medium yellow cross  542.62 67.62 
54 large blue semi-circle  123.26 608.26 
55 small purple semi-circle  1082.08 491.08 
56 large yellow cross  1039.10 357.10 
57 medium red semi-circle  465.14 1123.14 
58 medium red triangle  397.47 353.47 
59 large red semi-circle  568.26 594.26 
60 small red semi-circle  901.08 943.08 
61 large yellow triangle  144.85 365.85 
62 large red circle  555.56 380.56 
63 small green triangle  677.24 473.24 
64 medium blue cross  1488.62 1131.62 
65 small blue cross  1190.32 201.32 
66 medium purple cross  311.62 683.62 
67 medium yellow triangle  1369.47 604.47 
68 medium blue circle  704.17 262.17 
69 small blue square  1000.54 681.54 
70 medium purple triangle  1167.47 1102.47 
71 small yellow cross  279.32 905.32 
72 large green circle  247.56 1065.56 
73 medium red square  1166.07 744.07 
74 large blue triangle  1460.85 903.85 
75 large yellow semi-circle  733.26 1033.26 

36
12
01 medium yellow cross  58.62 1048.62 
02 small green square  925.54 1162.54 
03 medium red square  847.07 330.07 
04 medium green circle  469.17 229.17 
05 small blue semi-circle  726.08 935.08 
06 large yellow cross  171.10 472.10 
07 large blue square  1077.38 101.38 
08 medium red cross  489.62 351.62 
09 small green semi-circle  1536.08 1155.08 
10 small red square  618.54 858.54 
11 small purple triangle  1558.24 937.24 
12 medium red triangle  1129.47 548.47 
13 large yellow semi-circle  652.26 345.26 
14 large green triangle  917.85 489.85 
15 large purple square  638.38 709.38 
16 small red circle  1393.59 391.59 
17 small blue cross  776.32 578.32 
18 small blue square  355.54 940.54 
19 medium green cross  529.62 601.62 
20 large purple circle  1406.56 1068.56 
21 small yellow square  713.54 817.54 
22 medium yellow square  58.07 339.07 
23 large red square  1269.38 431.38 
24 large yellow square  1003.38 667.38 
25 medium red semi-circle  430.14 472.14 
26 medium purple cross  780.62 744.62 
27 small red semi-circle  1526.08 1028.08 
28 medium red circle  821.17 907.17 
29 small green circle  1565.59 281.59 
30 medium yellow triangle  328.47 835.47 
31 large green cross  1091.10 381.10 
32 large blue semi-circle  1192.26 1050.26 
33 large yellow circle  666.56 111.56 
34 large green circle  310.56 75.56 
35 large purple cross  1252.10 741.10 
36 medium blue semi-circle  63.14 592.14 
37 small purple square  852.54 815.54 
38 large blue cross  259.10 293.10 
39 large purple triangle  849.85 138.85 
40 small green triangle  1394.24 46.24 
41 small red triangle  162.24 648.24 
42 medium blue triangle  477.47 78.47 
43 small purple cross  1362.32 525.32 
44 medium green triangle  986.47 263.47 
45 large blue circle  169.56 1121.56 
46 medium yellow circle  214.17 776.17 
47 medium purple triangle  1039.47 1136.47 
48 small yellow circle  1473.59 338.59 
49 large yellow triangle  1444.85 735.85 
50 small red cross  71.32 934.32 
51 medium purple circle  1523.17 438.17 
52 small green cross  120.32 51.32 
53 medium green semi-circle  113.14 169.14 
54 medium blue circle  1483.17 546.17 
55 small blue triangle  1288.24 890.24 
56 small yellow cross  785.32 1147.32 
57 medium purple square  637.07 558.07 
58 medium blue square  1293.07 84.07 
59 medium blue cross  200.62 943.62 
60 large green square  487.38 864.38 
61 small yellow triangle  1559.24 47.24 
62 small purple circle  509.59 693.59 
63 large red triangle  347.85 647.85 
64 small blue circle  381.59 206.59 
65 medium green square  1279.07 595.07 
66 medium yellow semi-circle  1446.14 918.14 
67 large purple semi-circle  631.26 1081.26 
68 medium purple semi-circle  1236.14 222.14 
69 large green semi-circle  1036.26 860.26 
70 large red circle  73.56 801.56 
71 small yellow semi-circle  304.08 431.08 
72 large blue triangle  373.85 1083.85 
73 large red semi-circle  1458.26 189.26 
74 large red cross  878.10 1042.10 
75 small purple semi-circle  1189.08 891.08 

37
17
01 small blue square  1518.54 532.54 
02 medium yellow triangle  68.47 837.47 
03 small yellow square  1001.54 495.54 
04 medium red cross  670.62 721.62 
05 medium red square  1355.07 475.07 
06 small red triangle  1103.24 1148.24 
07 small blue semi-circle  1553.08 214.08 
08 large blue semi-circle  690.26 127.26 
09 large yellow square  1387.38 125.38 
10 medium blue semi-circle  1101.14 547.14 
11 medium red semi-circle  881.14 1070.14 
12 medium blue triangle  1505.47 924.47 
13 large purple circle  1200.56 100.56 
14 large green triangle  1370.85 1052.85 
15 large green circle  947.56 600.56 
16 small yellow circle  236.59 1091.59 
17 small purple triangle  471.24 554.24 
18 small yellow triangle  769.24 451.24 
19 medium yellow circle  1428.17 567.17 
20 medium green circle  60.17 563.17 
21 small blue triangle  49.24 1004.24 
22 medium green square  1314.07 587.07 
23 medium green triangle  369.47 630.47 
24 small red cross  1546.32 1040.32 
25 medium blue square  875.07 139.07 
26 medium yellow square  1282.07 304.07 
27 small blue circle  1223.59 655.59 
28 small yellow semi-circle  729.08 1031.08 
29 large purple triangle  356.85 118.85 
30 large blue triangle  1093.85 247.85 
31 medium yellow semi-circle  963.14 364.14 
32 medium purple semi-circle  194.14 674.14 
33 large red semi-circle  1471.26 339.26 
34 small purple cross  1128.32 653.32 
35 medium blue circle  533.17 154.17 
36 large yellow cross  809.10 913.10 
37 small green triangle  84.24 356.24 
38 large blue square  813.38 318.38 
39 large red cross  579.10 283.10 
40 large green square  179.38 956.38 
41 small purple semi-circle  1231.08 1134.08 
42 large yellow circle  535.56 895.56 
43 medium purple cross  829.62 542.62 
44 medium purple triangle  176.47 276.47 
45 small red circle  155.59 61.59 
46 small green cross  488.32 48.32 
47 small yellow cross  1068.32 438.32 
48 large blue circle  874.56 757.56 
49 small red semi-circle  1499.08 644.08 
50 small green square  682.54 931.54 
51 medium red triangle  962.47 887.47 
52 large red square  616.38 1116.38 
53 large red circle  1361.56 741.56 
54 medium purple square  96.07 1145.07 
55 large green semi-circle  352.26 804.26 
56 medium purple circle  990.17 67.17 
57 small red square  1002.54 1112.54 
58 small green semi-circle  43.08 268.08 
59 small purple square  1215.54 568.54 
60 medium blue cross  1276.62 888.62 
61 medium yellow cross  763.62 1143.62 
62 small purple circle  386.59 494.59 
63 large green cross  1089.10 1019.10 
64 large purple cross  1215.10 442.10 
65 medium green cross  1501.62 783.62 
66 large red triangle  618.85 508.85 
67 medium green semi-circle  84.14 156.14 
68 small green circle  999.59 760.59 
69 small blue cross  1242.32 981.32 
70 large yellow semi-circle  197.26 468.26 
71 large yellow triangle  397.85 344.85 
72 large purple semi-circle  390.26 1028.26 
73 large purple square  525.38 684.38 
74 large blue cross  1143.10 796.10 
75 medium red circle  69.17 704.17 

38
67
01 small purple square  512.54 902.54 
02 medium blue square  234.07 361.07 
03 small yellow circle  1563.59 347.59 
04 medium blue triangle  389.47 442.47 
05 medium yellow semi-circle  899.14 192.14 
06 large blue triangle  933.85 978.85 
07 medium yellow square  419.07 648.07 
08 small yellow triangle  1520.24 276.24 
09 medium green triangle  1120.47 699.47 
10 large purple triangle  571.85 456.85 
11 small purple triangle  76.24 392.24 
12 small red semi-circle  1326.08 885.08 
13 small red square  1503.54 650.54 
14 small blue semi-circle  1005.08 821.08 
15 medium purple circle  422.17 1130.17 
16 small blue cross  1565.32 42.32 
17 medium purple square  1517.07 756.07 
18 large yellow cross  287.10 1101.10 
19 large blue square  1137.38 898.38 
20 medium purple triangle  101.47 625.47 
21 large yellow square  575.38 1036.38 
22 medium red circle  735.17 563.17 
23 large green semi-circle  269.26 578.26 
24 medium purple cross  1496.62 1138.62 
25 medium red cross  1266.62 62.62 
26 large blue cross  387.10 919.10 
27 medium green square  1471.07 512.07 
28 medium green semi-circle  1212.14 194.14 
29 large yellow semi-circle  698.26 171.26 
30 medium yellow cross  956.62 63.62 
31 medium red semi-circle  223.14 118.14 
32 large red cross  125.10 268.10 
33 large yellow circle  1283.56 1029.56 
34 small green triangle  733.24 682.24 
35 small yellow semi-circle  1124.08 476.08 
36 small red circle  1567.59 159.59 
37 medium yellow triangle  180.47 984.47 
38 large green circle  75.56 1100.56 
39 large red semi-circle  923.26 516.26 
40 small blue triangle  881.24 678.24 
41 medium blue circle  288.17 741.17 
42 small red cross  694.32 1159.32 
43 large green cross  1116.10 1085.10 
44 small green cross  939.32 1125.32 
45 medium yellow circle  794.17 1051.17 
46 large purple circle  732.56 373.56 
47 small purple circle  376.59 70.59 
48 small purple semi-circle  816.08 46.08 
49 large red square  1475.38 918.38 
50 medium red triangle  76.47 123.47 
51 large red circle  1351.56 637.56 
52 medium blue cross  95.62 493.62 
53 small green square  46.54 975.54 
54 large green triangle  558.85 747.85 
55 small green semi-circle  1431.08 1056.08 
56 large purple cross  1404.10 342.10 
57 large purple semi-circle  418.26 216.26 
58 small blue circle  662.59 635.59 
59 small purple cross  844.32 1137.32 
60 large blue circle  1103.56 89.56 
61 medium purple semi-circle  549.14 75.14 
62 large yellow triangle  736.85 902.85 
63 small red triangle  1557.24 1034.24 
64 large purple square  1425.38 148.38 
65 large red triangle  136.85 815.85 
66 large blue semi-circle  1040.26 296.26 
67 medium green cross  987.62 706.62 
68 small yellow square  274.54 239.54 
69 small blue square  447.54 1028.54 
70 large green square  1259.38 440.38 
71 small yellow cross  813.32 625.32 
72 small green circle  1207.59 323.59 
73 medium green circle  1199.17 583.17 
74 medium blue semi-circle  1288.14 768.14 
75 medium red square  889.07 792.07 

39
54
01 large purple semi-circle  1324.26 1076.26 
02 medium red square  797.07 78.07 
03 medium green circle  1132.17 58.17 
04 large blue cross  1047.10 1096.10 
05 small blue cross  852.32 631.32 
06 medium blue triangle  1282.47 74.47 
